kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
pooling_nchw_max_256_11_113_113_3_56_56,pooling_nchw_max,24.905034,3.417229,10.594743,3.100390
pooling_nchw_max_256_192_71_71_3_35_35,pooling_nchw_max,26.705329,21.675434,67.068847,3.094233
pooling_nchw_max_256_22_57_57_3_28_28,pooling_nchw_max,21.561224,1.998796,6.104210,3.053943
pooling_nchw_max_256_336_43_43_3_21_21,pooling_nchw_max,26.922258,13.413883,42.005026,3.131459
pooling_nchw_max_256_42_167_167_3_83_83,pooling_nchw_max,27.429330,25.799256,83.736606,3.245698
pooling_nchw_max_256_64_114_114_3_56_56,pooling_nchw_max,28.183642,17.881535,57.999227,3.243526
pooling_nchw_max_256_64_147_147_3_73_73,pooling_nchw_max,27.480369,30.240652,99.455502,3.288802
pooling_nchw_max_256_672_23_23_3_11_11,pooling_nchw_max,24.159776,10.054460,23.433844,2.330691
pooling_nchw_max_256_84_85_85_3_42_42,pooling_nchw_max,26.390458,13.688827,42.400160,3.097428
pooling_nchw_max_256_88_29_29_3_14_14,pooling_nchw_max,26.453475,2.041018,6.075529,2.976715
