kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
conv_2d_nchw_fchw_256_128_14_14_32_3_3_12_12,conv_2d_nchw_fchw,99.485687,17.195150,13.300306,0.773492
conv_2d_nchw_fchw_256_128_28_28_128_3_3_26_26,conv_2d_nchw_fchw,195.101594,165.016077,133.165060,0.806982
conv_2d_nchw_fchw_256_128_28_28_32_3_3_26_26,conv_2d_nchw_fchw,187.604035,42.889565,58.375347,1.361062
conv_2d_nchw_fchw_256_128_28_28_512_1_1_28_28,conv_2d_nchw_fchw,119.217617,153.466018,41.282813,0.269003
conv_2d_nchw_fchw_256_128_7_7_32_3_3_5_5,conv_2d_nchw_fchw,93.566935,3.167909,3.346549,1.056391
conv_2d_nchw_fchw_256_16_128_128_8_7_7_61_61,conv_2d_nchw_fchw,115.711626,74.980977,234.938459,3.133308
conv_2d_nchw_fchw_256_256_14_14_1024_1_1_14_14,conv_2d_nchw_fchw,162.372437,103.059780,35.868511,0.348036
conv_2d_nchw_fchw_256_256_14_14_256_3_3_12_12,conv_2d_nchw_fchw,99.936619,275.101058,79.311113,0.288298
conv_2d_nchw_fchw_256_256_16_16_256_3_3_14_14,conv_2d_nchw_fchw,234.605274,200.769778,123.801261,0.616633
conv_2d_nchw_fchw_256_32_32_32_256_7_7_13_13,conv_2d_nchw_fchw,42.222883,538.822623,75.591628,0.140290
conv_2d_nchw_fchw_256_336_14_14_336_1_1_14_14,conv_2d_nchw_fchw,160.787772,44.946922,15.484222,0.344500
conv_2d_nchw_fchw_256_3_230_230_64_7_7_112_112,conv_2d_nchw_fchw,88.026175,386.693817,282.965279,0.731755
conv_2d_nchw_fchw_256_448_28_28_448_1_1_28_28,conv_2d_nchw_fchw,123.649623,477.034483,132.565737,0.277896
conv_2d_nchw_fchw_256_512_28_28_128_1_1_28_28,conv_2d_nchw_fchw,132.182362,145.764230,52.407330,0.359535
conv_2d_nchw_fchw_256_576_14_14_576_1_1_14_14,conv_2d_nchw_fchw,175.749453,132.349666,42.998509,0.324886
conv_2d_nchw_fchw_256_64_56_56_256_1_1_56_56,conv_2d_nchw_fchw,59.540532,329.018925,79.065771,0.240308
conv_2d_nchw_fchw_256_64_56_56_64_3_3_54_54,conv_2d_nchw_fchw,179.283964,192.107792,179.288479,0.933270
conv_2d_nchw_fchw_256_64_64_64_16_3_3_62_62,conv_2d_nchw_fchw,221.153430,63.645099,155.608820,2.444946
