kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
relu_256_10,relu,0.781656,0.002693,0.009451,3.509469
relu_256_100,relu,1.017579,0.017350,0.028632,1.650259
relu_256_1000,relu,1.015117,0.187269,0.104026,0.555490
relu_256_14_14_672,relu,6.539161,6.657983,8.312300,1.248471
relu_256_14_14_88,relu,3.921102,1.812071,1.050609,0.579784
relu_256_2048,relu,1.019124,0.430766,0.103976,0.241375
relu_256_23_23_336,relu,6.482450,8.991236,10.547464,1.173083
relu_256_29_29_22,relu,2.725071,1.874978,1.196952,0.638382
relu_256_36_36_192,relu,4.094508,19.714707,15.135930,0.767748
relu_256_43_43_84,relu,6.330571,7.942961,9.463982,1.191493
relu_256_512,relu,1.037737,0.093967,0.102261,1.088265
relu_256_57_57_64,relu,6.289481,10.807770,12.796590,1.184018
relu_256_74_74_64,relu,6.303997,18.196602,20.786360,1.142321
relu_256_85_85_42,relu,6.274882,15.776491,18.312990,1.160777
