group,n_kernels,mean_speedup,geomean_speedup,mean_exec_time_ms,mean_speedup_to_torch,geomean_speedup_to_torch
relu,13,4.62743571257627,3.243894363637604,6.1981139999999995,0.9791681734152535,0.9012284911625215
OVERALL,13,4.62743571257627,3.243894363637604,6.1981139999999995,0.9791681734152535,0.9012284911625215
