group,n_kernels,mean_speedup_min,mean_speedup_q25,mean_speedup_median,mean_speedup_q75,mean_speedup_max,geomean_speedup_min,geomean_speedup_q25,geomean_speedup_median,geomean_speedup_q75,geomean_speedup_max,mean_exec_time_ms_min,mean_exec_time_ms_q25,mean_exec_time_ms_median,mean_exec_time_ms_q75,mean_exec_time_ms_max
add,10,3.7900059898092677,4.463678549231948,4.861600051923038,5.288387741903333,6.0202205709148275,3.3143061818856885,3.889576340412727,4.179289815759872,4.430844840555223,4.78254505821386,16.4954505,16.950837,17.1738693,17.817158,18.929296400000002
conv_2d_nchw_fchw,18,24.74286326963285,25.621156050667846,25.885496441298095,26.156021356056705,26.67016672747204,20.720183753304397,21.19091107542906,21.389771638181262,21.626086169862074,22.022090024844488,1184.6731482222224,1207.109039,1221.7370044444444,1232.5985778333334,1248.2211120000002
matmul,14,223.95377741501878,293.1446460473421,317.5247552928968,331.3101390404924,372.25031918867364,197.84813127575782,274.37112999349966,296.57783408964707,315.98981177189114,355.550149105153,3.198307857142857,3.640782285714285,3.7021880714285715,3.876130714285714,5.013553785714286
pooling_nchw_max,10,24.34495102586812,26.483162650850225,26.917287749864688,27.05027307810937,27.147475572533217,23.750315614363426,26.37588225802711,26.856643768658458,26.993220614324102,27.09080675806984,13.590086600000001,13.620397800000001,13.6632049,13.706640600000004,15.1989604
relu,13,3.684198919199839,3.8960231649612704,4.255602273646197,4.770256218497493,5.231604284026732,2.9902100152213915,3.1969962601568094,3.5889955522894574,4.088800480103921,4.537533984519766,7.954249923076923,8.114562846153847,8.225159846153845,8.413263307692308,8.669160076923077
OVERALL,65,60.1533627503081,75.77419333415583,81.29841873260305,84.5315426156386,93.71161979788856,17.618808192893045,20.080377471919586,21.24361132233257,22.389737606243568,23.85911745577357,334.9715938153846,341.38669721538463,345.51376204615383,348.70231753846156,353.72540643076917
