kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
relu_256_10,relu,0.023764,0.088580,0.009451,0.106695
relu_256_100,relu,0.190871,0.092497,0.028632,0.309545
relu_256_1000,relu,0.936094,0.203078,0.104026,0.512247
relu_256_14_14_672,relu,7.012420,6.208644,8.312300,1.338827
relu_256_14_14_88,relu,3.840608,1.850050,1.050609,0.567881
relu_256_2048,relu,1.401360,0.313270,0.103976,0.331905
relu_256_23_23_336,relu,6.694567,8.706350,10.547464,1.211468
relu_256_29_29_22,relu,2.773194,1.842442,1.196952,0.649655
relu_256_36_36_192,relu,5.778618,13.969087,15.135930,1.083530
relu_256_43_43_84,relu,6.763915,7.434079,9.463982,1.273054
relu_256_512,relu,0.721859,0.135086,0.102261,0.757007
relu_256_57_57_64,relu,6.731816,10.097612,12.796590,1.267289
relu_256_74_74_64,relu,6.511356,17.617118,20.786360,1.179896
relu_256_85_85_42,relu,6.401902,15.463470,18.312990,1.184274
