kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
relu_256_10,relu,0.025727,0.081820,0.009451,0.115510
relu_256_100,relu,0.201366,0.087676,0.028632,0.326566
relu_256_1000,relu,1.219559,0.155876,0.104026,0.667364
relu_256_14_14_672,relu,6.089737,7.149343,8.312300,1.162666
relu_256_14_14_88,relu,5.228303,1.359010,1.050609,0.773069
relu_256_2048,relu,1.716455,0.255762,0.103976,0.406534
relu_256_23_23_336,relu,5.917120,9.850272,10.547464,1.070779
relu_256_29_29_22,relu,3.774494,1.353678,1.196952,0.884222
relu_256_36_36_192,relu,5.666513,14.245449,15.135930,1.062510
relu_256_43_43_84,relu,5.923644,8.488606,9.463982,1.114904
relu_256_512,relu,0.792892,0.122984,0.102261,0.831498
relu_256_57_57_64,relu,5.774441,11.771747,12.796590,1.087060
relu_256_74_74_64,relu,5.628087,20.381941,20.786360,1.019842
relu_256_85_85_42,relu,5.696253,17.379077,18.312990,1.053738
