group,n_kernels,mean_speedup,geomean_speedup,mean_exec_time_ms,mean_speedup_to_torch,geomean_speedup_to_torch
conv_2d_nchw_fchw,18,153.0765451639555,137.16608236819766,179.37821077777778,0.7860408034394095,0.6055962816537662
OVERALL,18,153.0765451639555,137.16608236819766,179.37821077777778,0.7860408034394095,0.6055962816537662
