kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
matmul_256_1024_1024,matmul,526.854848,1.271051,1.794884,1.412126
matmul_256_1280_1024,matmul,547.322127,1.576284,1.219022,0.773352
matmul_256_128_256,matmul,77.950170,0.140718,0.553960,3.936668
matmul_256_1536_1024,matmul,552.107891,1.872380,1.998730,1.067481
matmul_256_1536_4096,matmul,248.166201,15.823642,8.062012,0.509492
matmul_256_1792_1024,matmul,561.229309,2.152113,2.391172,1.111081
matmul_256_2048_1024,matmul,546.116834,2.455618,2.388486,0.972662
matmul_256_2048_2048,matmul,431.902884,5.987192,5.918599,0.988543
matmul_256_256_128,matmul,78.094152,0.143842,0.280432,1.949584
matmul_256_256_512,matmul,288.510852,0.298883,0.199200,0.666482
matmul_256_4096_1024,matmul,432.730128,5.992286,5.781088,0.964755
matmul_256_512_1024,matmul,317.555868,1.086494,0.562158,0.517406
matmul_256_768_3072,matmul,528.664719,2.859184,3.391218,1.186079
matmul_256_768_768,matmul,387.018031,0.967022,1.355682,1.401914
