group,n_kernels,mean_speedup,geomean_speedup,mean_exec_time_ms,mean_speedup_to_torch,geomean_speedup_to_torch
matmul,14,390.30180942646626,324.0354265736896,3.1392567857142852,1.1919193595436155,1.027784467022208
OVERALL,14,390.30180942646626,324.0354265736896,3.1392567857142852,1.1919193595436155,1.027784467022208
