kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
conv_2d_nchw_fchw_256_128_14_14_32_3_3_12_12,conv_2d_nchw_fchw,149.197259,11.465836,13.300306,1.159994
conv_2d_nchw_fchw_256_128_28_28_128_3_3_26_26,conv_2d_nchw_fchw,170.199054,189.160274,133.165060,0.703980
conv_2d_nchw_fchw_256_128_28_28_32_3_3_26_26,conv_2d_nchw_fchw,183.127994,43.937878,58.375347,1.328588
conv_2d_nchw_fchw_256_128_28_28_512_1_1_28_28,conv_2d_nchw_fchw,84.479276,216.572084,41.282813,0.190619
conv_2d_nchw_fchw_256_128_7_7_32_3_3_5_5,conv_2d_nchw_fchw,117.217040,2.528741,3.346549,1.323405
conv_2d_nchw_fchw_256_16_128_128_8_7_7_61_61,conv_2d_nchw_fchw,104.841181,82.755370,234.938459,2.838951
conv_2d_nchw_fchw_256_256_14_14_1024_1_1_14_14,conv_2d_nchw_fchw,84.078410,199.029308,35.868511,0.180217
conv_2d_nchw_fchw_256_256_14_14_256_3_3_12_12,conv_2d_nchw_fchw,152.607790,180.152466,79.311113,0.440244
conv_2d_nchw_fchw_256_256_16_16_256_3_3_14_14,conv_2d_nchw_fchw,156.388561,301.183466,123.801261,0.411049
conv_2d_nchw_fchw_256_32_32_32_256_7_7_13_13,conv_2d_nchw_fchw,76.877248,295.934690,75.591628,0.255433
conv_2d_nchw_fchw_256_336_14_14_336_1_1_14_14,conv_2d_nchw_fchw,83.259924,86.799448,15.484222,0.178391
conv_2d_nchw_fchw_256_3_230_230_64_7_7_112_112,conv_2d_nchw_fchw,79.731602,426.922035,282.965279,0.662803
conv_2d_nchw_fchw_256_448_28_28_448_1_1_28_28,conv_2d_nchw_fchw,90.659903,650.619870,132.565737,0.203753
conv_2d_nchw_fchw_256_512_28_28_128_1_1_28_28,conv_2d_nchw_fchw,90.907607,211.945521,52.407330,0.247268
conv_2d_nchw_fchw_256_576_14_14_576_1_1_14_14,conv_2d_nchw_fchw,92.362569,251.837748,42.998509,0.170739
conv_2d_nchw_fchw_256_64_56_56_256_1_1_56_56,conv_2d_nchw_fchw,60.046609,326.245932,79.065771,0.242350
conv_2d_nchw_fchw_256_64_56_56_64_3_3_54_54,conv_2d_nchw_fchw,187.695938,183.498092,179.288479,0.977059
conv_2d_nchw_fchw_256_64_64_64_16_3_3_62_62,conv_2d_nchw_fchw,239.635991,58.736302,155.608820,2.649278
